id,authors,original_title,title,language_code
2302,Alexandra Ripley,Scarlett: The Sequel to Margaret Mitchell's Gone With the Wind,Scarlett,eng
2303,Laurell K. Hamilton,Bloody Bones,"Bloody Bones (Anita Blake, Vampire Hunter #5)",eng
2304,F. Scott Fitzgerald,This Side of Paradise,This Side of Paradise,eng
2305,Blaine Harden,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West ,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,eng
2306,Kim Harrison,Every Which Way But Dead,"Every Which Way But Dead (The Hollows, #3)",en-US
2307,Curtis Sittenfeld,Eligible,"Eligible: A Modern Retelling of Pride and Prejudice (The Austen Project, #4)",eng
2308,Sarah Thornton,Seven Days in the Art World,Seven Days in the Art World,
2309,"J.R.R. Tolkien, Christopher Tolkien, Alan Lee",The Children of Húrin,The Children of Húrin,eng
2310,Dave Ramsey,The Total Money Makeover: A Proven Plan for Financial Fitness,The Total Money Makeover: A Proven Plan for Financial Fitness,
2311,"Richard Atwater, Florence Atwater, Robert Lawson",Mr. Popper's Penguins,Mr. Popper's Penguins,eng
2312,Orson Scott Card,Shadow Puppets,"Shadow Puppets (Ender's Shadow, #3)",
2313,Lev Grossman,The Magician's Land,"The Magician's Land (The Magicians, #3)",eng
2314,William Faulkner,Light in August,Light in August,en-US
2315,"E.B. White, Fred Marcellino",The Trumpet of the Swan,The Trumpet of the Swan,eng
2316,George Saunders,Tenth of December,Tenth of December,eng
2317,Sherrilyn Kenyon,Night Pleasures,"Night Pleasures (Dark-Hunter, #1)",en-US
2318,"Thomas J. Stanley, William D. Danko",The Millionaire Next Door: The Surprising Secrets of America's Wealthy,The Millionaire Next Door: The Surprising Secrets of Americas Wealthy,eng
2319,Ally Carter,Don't Judge a Girl by Her Cover,"Don't Judge a Girl by Her Cover (Gallagher Girls, #3)",en-US
2320,Bob Dylan,Chronicles: Volume One,"Chronicles, Vol. 1",eng
2321,Bill Bryson,The Lost Continent: Travels in Small-Town America,The Lost Continent: Travels in Small Town America,en-US
2322,Lisa See,Dreams of Joy (Shanghai Girls #2),Dreams of Joy (Shanghai Girls #2),en-CA
2323,Sidney Sheldon,Tell Me Your Dreams,Tell Me Your Dreams,eng
2324,"Laura Ingalls Wilder, Garth Williams",By the Shores of Silver Lake,"By the Shores of Silver Lake  (Little House, #5)",
2325,Iain M. Banks,The Player of Games,"The Player of Games (Culture, #2)",eng
2326,"George Selden, Garth Williams",,The Cricket in Times Square,eng
2327,Patrick Lencioni,The Five Dysfunctions of a Team,The Five Dysfunctions of a Team: A Leadership Fable,eng
2328,"William S. Burroughs, Oliver  Harris, Allen Ginsberg",Junky,Junky,eng
2329,"Roger Fisher, William Ury, Bruce Patton",Getting to Yes: Negotiating agreement without giving in,Getting to Yes: Negotiating an Agreement Without Giving In,en-US
2330,R.K. Lilley,Mile high (Up In The Air #2),"Mile High (Up in the Air, #2)",en-GB
2331,Colleen Hoover,November 9,November 9,en-US
2332,Kerry Lonsdale,Everything We Keep,"Everything We Keep (Everything We Keep, #1)",eng
2333,Samantha Towle,The Mighty Storm,"The Mighty Storm (The Storm, #1)",eng
2334,Madeline Miller,The Song of Achilles,The Song of Achilles,eng
2335,Amy Schumer,The Girl with the Lower Back Tattoo,The Girl with the Lower Back Tattoo,eng
2336,"Krishna-Dwaipayana Vyasa, Simon Brodbeck, Juan Mascaró",भगवद्गीता [Bhagavadgītā],The Bhagavad Gita,eng
2337,"Paul Auster, Art Spiegelman",The New York Trilogy,The New York Trilogy,eng
2338,Pam Muñoz Ryan,Esperanza Rising,Esperanza Rising,eng
2339,J.D. Salinger,"Raise High the Roof Beam, Carpenters / Seymour: An Introduction","Raise High the Roof Beam, Carpenters & Seymour: An Introduction",eng
2340,Candace Bushnell,Sex and the City,Sex and the City,
2341,Laurell K. Hamilton,"The Killing Dance (Anita Blake, Vampire Hunter, #6)","The Killing Dance (Anita Blake, Vampire Hunter, #6)",en-US
2342,"Friedrich Nietzsche, R.J. Hollingdale, Michael Tanner",Jenseits von Gut und Böse: Vorspiel einer Philosophie der Zukunft,Beyond Good and Evil,eng
2343,Christopher Paul Curtis,The Watsons Go to Birmingham - 1963,The Watsons Go to Birmingham - 1963,eng
2344,Charles Bukowski,Factotum,Factotum,
2345,Julie Kagawa,The Immortal Rules,"The Immortal Rules (Blood of Eden, #1)",eng
2346,Dave Cullen,Columbine,Columbine,eng
2347,Anne Rice,Lasher,"Lasher (Lives of the Mayfair Witches, #2)",eng
2348,Laila Ibrahim,,Yellow Crocus,en-US
2349,"Mark Owen, Kevin Maurer",No Easy Day: The Firsthand Account of the Mission That Killed Osama Bin Laden,No Easy Day: The Firsthand Account of the Mission That Killed Osama Bin Laden,en-US
2350,Laura Moriarty,The Chaperone,The Chaperone,en-US
2351,Patricia Cornwell,All That Remains,"All That Remains (Kay Scarpetta, #3)",en-US
2352,"Richard Bachman, Stephen King",The Regulators,The Regulators,eng
2353,"Neil Gaiman, Matt Wagner, George Pratt, Dick Giordano, Kelley Jones, P. Craig Russell, Mike Dringenberg, Malcolm Jones III, Todd Klein, Harlan Ellison",The Sandman: Season of Mists,Season of Mists (The Sandman #4),eng
2354,"James Patterson, Andrew Gross",Judge & Jury,Judge & Jury,eng
2355,George Eliot,Silas Marner: The Weaver of Raveloe,Silas Marner,
2356,Jennifer L. Armentrout,Origin,"Origin (Lux, #4)",eng
2357,Michael Pollan,The Botany of Desire: A Plant's-Eye View of the World,The Botany of Desire: A Plant's-Eye View of the World,en-CA
2358,"Kami Garcia, Margaret Stohl",Beautiful Redemption,"Beautiful Redemption (Caster Chronicles, #4)",eng
2359,Kate Morton,The Distant Hours,The Distant Hours,eng
2360,Clare Mackintosh,I Let You Go,I Let You Go,en-GB
2361,Robert Louis Stevenson,Kidnapped,"Kidnapped (David Balfour, #1)",
2362,H.G. Bissinger,"Friday Night Lights: A Town, a Team, and a Dream","Friday Night Lights: A Town, a Team, and a Dream",
2363,David Sheff,Beautiful Boy: A Father's Journey Through His Son's Meth Addiction,Beautiful Boy: A Father's Journey Through His Son's Addiction,en-US
2364,Abbi Glines,"The Vincent Brothers (The Vincent Boys, #1)","The Vincent Boys (The Vincent Boys, #1)",eng
2365,Edgar Allan Poe,The Cask of Amontillado,The Cask of Amontillado,eng
2366,"Ovid, David Raeburn, Denis Feeney",Metamorphoses,Metamorphoses,eng
2367,Julia Alvarez,In the Time of the Butterflies,In the Time of the Butterflies,eng
2368,Robert Morgan,Gap Creek : The Story Of A Marriage (Oprah's Book Club),Gap Creek,en-US
2369,Jennifer L. Armentrout,Half-Blood,"Half-Blood (Covenant, #1)",eng
2370,"Bo Hampton, Tracey Hampton, Washington Irving",The Legend of Sleepy Hollow,The Legend of Sleepy Hollow (Graphic Novel),eng
2371,Jen Lancaster,"Bitter is the New Black : Confessions of a Condescending, Egomaniacal, Self-Centered Smartass, Or, Why You Should Never Carry A Prada Bag to the Unemployment Office","Bitter Is the New Black: Confessions of a Condescending, Egomaniacal, Self-Centered Smartass, Or, Why You Should Never Carry A Prada Bag to the Unemployment Office",eng
2372,Nora Roberts,The Witness,The Witness,
2373,Karin Slaughter,Blindsighted,"Blindsighted (Grant County, #1)",eng
2374,Wallace Stegner,Angle of Repose,Angle of Repose,eng
2375,John le Carré,"Tinker, Tailor, Soldier, Spy","Tinker, Tailor, Soldier, Spy",
2376,Brian Jacques,Lord Brocktree,"Lord Brocktree (Redwall, #13)",en-US
2377,Veronica Rossi,Through the Ever Night,"Through the Ever Night (Under the Never Sky, #2)",en-CA
2378,Elin Hilderbrand,Barefoot,Barefoot,en-US
2379,James Frey,My Friend Leonard,My Friend Leonard,
2380,Tennessee Williams,Cat on a Hot Tin Roof,Cat on a Hot Tin Roof,eng
2381,James Patterson,The Final Warning,"The Final Warning (Maximum Ride, #4)",en-US
2382,Robin Hobb,The Golden Fool,"Golden Fool (Tawny Man, #2)",eng
2383,David Baldacci,Split Second,"Split Second (Sean King & Michelle Maxwell, #1)",en-US
2384,Michael Connelly,The Fifth Witness,"The Fifth Witness (Mickey Haller, #5; Harry Bosch Universe, #20)",eng
2385,Tad Williams,The Dragonbone Chair,"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)",en-US
2386,Marjane Satrapi,,"Persepolis, Volume 1",fre
2387,Jan Karon,At Home in Mitford (Mitford Years #1),"At Home in Mitford (Mitford Years, #1)",eng
2388,Tony Hsieh,"Delivering Happiness: A Path to Profits, Passion, and Purpose","Delivering Happiness: A Path to Profits, Passion, and Purpose",
2389,Anthony Horowitz,Scorpia,"Scorpia (Alex Rider, #5)",eng
2390,Erika Johansen,The Queen of the Tearling,"The Queen of the Tearling (The Queen of the Tearling, #1)",eng
2391,Gordon Korman,"One False Note (The 39 Clues, Book 2)","One False Note (The 39 Clues, #2)",eng
2392,Holly Black,Tithe: A Modern Faerie Tale,"Tithe (Modern Faerie Tales, #1)",eng
2393,Lee Child,Echo Burning,"Echo Burning (Jack Reacher, #5)",en-US
2394,L.J. Smith,The Fury and Dark Reunion,"The Fury / Dark Reunion (The Vampire Diaries, #3-4)",en-US
2395,"Colleen Hoover, Tarryn Fisher",Never Never,"Never Never (Never Never, #1)",en-US
2396,Elizabeth Haynes,Into the Darkest Corner,Into the Darkest Corner,eng
2397,"Richard Lancelyn Green, Ronald Knox, Julian Symons, Various",The Further Adventures of Sherlock Holmes (Classic Crime),The Further Adventures of Sherlock Holmes: After Sir Arthur Conan Doyle (Classic Crime),
2398,James Patterson,Roses Are Red,"Roses are Red (Alex Cross, #6)",en-US
2399,Terry Goodkind,"Naked Empire (Sword of Truth, #8)","Naked Empire (Sword of Truth, #8)",en-GB
2400,James Rollins,Map of Bones,"Map of Bones (Sigma Force, #2)",eng
2401,Harlan Coben,The Stranger,The Stranger,eng
2402,Sara Shepard,Unbelievable,"Unbelievable (Pretty Little Liars, #4)",en-US
2403,"E.M. Forster, Oliver Stallybrass, Pankaj Mishra",A Passage to India,A Passage to India,eng
2404,Rachel Hartman,Seraphina,"Seraphina (Seraphina, #1)",eng
2405,Nora Roberts,Morrigan's Cross,"Morrigan's Cross (Circle Trilogy, #1)",eng
2406,Jean M. Auel,The Mammoth Hunters,"The Mammoth Hunters (Earth's Children, #3)",en-US
2407,Jim Butcher,Princeps' Fury,"Princeps' Fury (Codex Alera, #5)",en-US
2408,Erich Segal,Love Story,"Love Story (Love Story, #1)",
2409,Kevin Henkes,Chrysanthemum,Chrysanthemum,en-US
2410,Wendy Higgins,Sweet Evil,"Sweet Evil (Sweet, #1)",eng
2411,Herman Wouk,The Winds of War,"The Winds of War (The Henry Family, #1)",en-US
2412,"Stephen King, Jae Lee",The Wind Through the Keyhole,"The Wind Through the Keyhole (The Dark Tower, #4.5)",eng
2413,Bernard Cornwell,The Last Kingdom,"The Last Kingdom (The Saxon Stories, #1)",en-US
2414,Michael E. Gerber,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,
2415,"James Howe, Deborah Howe, Alan Daniel",Bunnicula: A Rabbit-Tale of Mystery,"Bunnicula (Bunnicula, #1)",eng
2416,R.A. Salvatore,Exile ,"Exile (Forgotten Realms: The Dark Elf Trilogy, #2; Legend of Drizzt, #2)",eng
2417,Amanda Hocking,Ascend,"Ascend (Trylle, #3)",en-US
2418,"Jussi Adler-Olsen, Lisa Hartford",Kvinden i buret,"The Keeper of Lost Causes (Department Q, #1)",eng
2419,Gabriel García Márquez,Del amor y otros demonios,Of Love and Other Demons,eng
2420,Rick Riordan,,The Demigod Files (Percy Jackson and the Olympians),eng
2421,Oliver Sacks,Musicophilia: Tales of Music and the Brain,Musicophilia: Tales of Music and the Brain,eng
2422,Stephen King,End of Watch,"End of Watch (Bill Hodges Trilogy, #3)",eng
2423,Christopher Moore,Fool,Fool,en-US
2424,John Connolly,The Book of Lost Things,The Book of Lost Things,eng
2425,Bill Clinton,My Life,My Life,eng
2426,"Frank Miller, Lynn Varley",300,300,en-US
2427,Linda Sue Park,Storm Warning,"Storm Warning (The 39 Clues, #9)",eng
2428,Ally Carter,Only the Good Spy Young,"Only the Good Spy Young (Gallagher Girls, #4)",en-US
2429,Lee Child,The Persuader,"Persuader (Jack Reacher, #7)",eng
2430,Charlaine Harris,,"Grave Sight (Harper Connelly, #1)",eng
2431,"Jo Nesbø, Don Bartlett",Flaggermusmannen,"Flaggermusmannen (Harry Hole, #1)",nor
2432,Nora Roberts,"Blood Brothers (Sign of Seven, #1)","Blood Brothers (Sign of Seven, #1)",eng
2433,Jodi Picoult,Picture Perfect,Picture Perfect,en-GB
2434,"Nobuhiro Watsuki, Kenichiro Yagi",るろうに剣心 1,"Rurouni Kenshin, Vol. 1: Meiji Swordsman Romantic Story (Rurouni Kenshin, #1)",eng
2435,Miranda Kenneally,Catching Jordan,Catching Jordan,eng
2436,Joe Simpson,Touching the Void: The True Story of One Man's Miraculous Survival,Touching the Void: The True Story of One Man's Miraculous Survival,eng
2437,Colleen Hoover,This Girl,"This Girl (Slammed, #3)",eng
2438,Simms Taback,There Was an Old Lady Who Swallowed a Fly,There Was an Old Lady Who Swallowed a Fly,
2439,Dan Millman,Way of the Peaceful Warrior: A Book That Changes Lives,Way of the Peaceful Warrior: A Book That Changes Lives,en-US
2440,Salman Rushdie,The Satanic Verses,The Satanic Verses,eng
2441,Barbara Demick,Nothing to Envy: Ordinary Lives in North Korea,Nothing to Envy: Ordinary Lives in North Korea,eng
2442,"Jack Welch, Suzy Welch",Winning,Winning,
2443,Gail McHugh,Collide,"Collide (Collide, #1)",eng
2444,Jonah Lehrer,How We Decide,How We Decide,en-US
2445,Laurie R. King,The Beekeeper's Apprentice,"The Beekeeper's Apprentice (Mary Russell, #1)",en-US
2446,"Jean de Brunhoff, Merle S. Haas","Histoire de Babar, le petit éléphant",The Story of Babar,en-US
2447,Michael Scott,The Warlock,"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)",eng
2448,Jim Butcher,First Lord's Fury,"First Lord's Fury (Codex Alera, #6)",eng
2449,Tom Rachman,The Imperfectionists,The Imperfectionists,eng
2450,Katja Millay,The Sea of Tranquility,The Sea of Tranquility,eng
2451,"Marjane Satrapi, Anjali Singh",Persepolis 2 ,"Persepolis 2: The Story of a Return (Persepolis, #2)",eng
2452,Terry Pratchett,Pyramids,"Pyramids (Discworld, #7)",en-US
2453,Raymond E. Feist,Silverthorn,"Silverthorn (The Riftwar Saga, #3)",en-GB
2454,Jenny Downham,Before I Die,Before I Die,eng
2455,Elizabeth Gilbert,Committed: A Skeptic Makes Peace with Marriage,Committed: A Skeptic Makes Peace with Marriage,eng
2456,Sarah Dessen,Keeping the Moon,Keeping the Moon,en-US
2457,Veronica Roth,Four: The Transfer,"The Transfer (Divergent, #0.1)",eng
2458,Terry Goodkind,"Chainfire (Sword of Truth, #9)","Chainfire (Sword of Truth, #9)",en-US
2459,"Julia Child, Simone Beck, Louisette Bertholle",Mastering the Art of French Cooking,Mastering the Art of French Cooking,en-US
2460,"Kazue Kato, John Werry",青の祓魔師 1,"Blue Exorcist, Vol. 1  (Blue Exorcist, #1)",eng
2461,Terry Goodkind,"Confessor (Sword of Truth, #11)","Confessor (Sword of Truth, #11)",en-US
2462,Mohsin Hamid,The Reluctant Fundamentalist,The Reluctant Fundamentalist,eng
2463,Jennifer A. Nielsen,The False Prince,The False Prince (The Ascendance Trilogy #1),eng
2464,John Updike,"Rabbit, Run","Rabbit, Run (Rabbit Angstrom #1)",eng
2465,Daniel Todd Gilbert,Stumbling on Happiness,Stumbling on Happiness,eng
2466,T.S. Eliot,The Waste Land and Other Poems,The Waste Land and Other Poems,en-US
2467,"Else Holmelund Minarik, Maurice Sendak",Little Bear,Little Bear,eng
2468,Edgar Allan Poe,The Pit and the Pendulum,The Pit and the Pendulum,eng
2469,Terry Pratchett,Lords and Ladies,"Lords and Ladies (Discworld, #14; Witches #4)",eng
2470,Terry Pratchett,Thud!,"Thud! (Discworld, #34; City Watch #7)",eng
2471,Naomi Novik,His Majesty's Dragon,"His Majesty's Dragon (Temeraire, #1)",eng
2472,"Holly Black, Tony DiTerlizzi",The Field Guide,"The Field Guide (The Spiderwick Chronicles, #1)",eng
2473,David Platt,,Radical: Taking Back Your Faith from the American Dream,eng
2474,"Robert Greene, Joost Elffers",The 48 Laws of Power,The 48 Laws of Power,
2475,Jean Craighead George,My Side of the Mountain ,"My Side of the Mountain (Mountain, #1)",eng
2476,"Susanna Kearsley, Rosalyn Landor",The Winter Sea,"The Winter Sea (Slains, #1)",eng
2477,Peter Lerangis,The Sword Thief,"The Sword Thief (The 39 Clues, #3)",eng
2478,Robin Cook,Coma,Coma,eng
2479,"Hubert Selby Jr., Darren Aronofsky, Richard Price",Requiem for a Dream,Requiem for a Dream,eng
2480,Erin Hunter,Into the Wild,"Into the Wild (Warriors, #1)",eng
2481,Dee Brown,Bury My Heart at Wounded Knee: An Indian History of the American West,Bury My Heart at Wounded Knee: An Indian History of the American West,
2482,"Władysław Szpilman, Anthea Bell",Śmierć Miasta ,"The Pianist: The Extraordinary Story of One Man's Survival in Warsaw, 1939–45",
2483,Maya Banks,Rush,"Rush (Breathless, #1)",eng
2484,"Ian Edginton, Oscar Wilde, I.N.J. Culbard",The Picture of Dorian Gray: A Graphic Novel ,The Picture of Dorian Gray: A Graphic Novel,eng
2485,Robert McCammon,Swan Song,Swan Song,eng
2486,Kazuo Ishiguro,The Buried Giant,The Buried Giant,eng
2487,China Miéville,Perdido Street Station,"Perdido Street Station (Bas-Lag, #1)",eng
2488,Carrie Jones,Need,"Need (Need, #1)",eng
2489,Terry Pratchett,Witches Abroad,"Witches Abroad (Discworld, #12; Witches #3)",eng
2490,"Geoffrey Crayon, Washington Irving, William L. Hedges","The Sketch Book of Geoffrey Crayon, Gent",The Legend of Sleepy Hollow and Other Stories,eng
2491,Frank Herbert,Heretics of Dune,Heretics of Dune (Dune Chronicles #5),eng
2492,"David Wilkerson, John Sherrill, Elizabeth Sherrill",The Cross and the Switchblade,The Cross and the Switchblade,
2493,Jim Butcher,Captain's Fury,"Captain's Fury (Codex Alera, #4)",eng
2494,Chuck Palahniuk,Damned,"Damned (Damned, #1)",eng
2495,Cynthia Lord,Rules,Rules,
2496,Karen Russell,Swamplandia!,Swamplandia!,eng
2497,Michael Connelly,The Last Coyote,"The Last Coyote (Harry Bosch, #4; Harry Bosch Universe, #4)",eng
2498,Mark Kurlansky,Salt: A World History,Salt: A World History,eng
2499,"Charlotte Brontë, A.S. Byatt, Μαρία Λαϊνά, Ignes Sodre",Villette,Villette,eng
2500,Neal Stephenson,Reamde,Reamde,eng
2501,Terry Pratchett,Soul Music,"Soul Music (Discworld, #16; Death, #3)",eng
2502,Janet Evanovich,Notorious Nineteen,"Notorious Nineteen (Stephanie Plum, #19)",eng
2503,Richard Dawkins,The Greatest Show on Earth: The Evidence for Evolution,The Greatest Show on Earth: The Evidence for Evolution,en-GB
2504,Frank Miller,Sin City Volume 1: The Hard Goodbye,"Sin City, Vol. 1: The Hard Goodbye (Sin City, #1)",eng
2505,Og Mandino,The Greatest Salesman in the World,The Greatest Salesman in the World,eng
2506,Ian Fleming,Casino Royale,"Casino Royale (James Bond, #1)",eng
2507,Paullina Simons,The Bronze Horseman,"The Bronze Horseman (The Bronze Horseman, #1)",eng
2508,Toni Morrison,Sula,Sula,en-US
2509,A.G. Riddle,The Atlantis Gene,"The Atlantis Gene (The Origin Mystery, #1)",eng
2510,Philippa Gregory,The Red Queen,"The Red Queen (The Plantagenet and Tudor Novels, #3)",eng
2511,Julie James,Something About You,"Something About You (FBI/US Attorney, #1)",eng
2512,Dr. Seuss,Mr. Brown Can Moo! Can You?,Mr. Brown Can Moo! Can You?,en-US
2513,"Stephen King, Peter Straub",Black House ,"Black House (The Talisman, #2)",eng
2514,"Neil Gaiman, Andy Kubert, Richard Isanove, Peter Sanderson",Marvel 1602,Marvel 1602,eng
2515,Vince Flynn,Act of Treason,"Act of Treason (Mitch Rapp, #9)",en-US
2516,Peter Heller,The Dog Stars,The Dog Stars,
2517,John le Carré,The Spy Who Came In from the Cold,The Spy Who Came In from the Cold,eng
2518,Jim Butcher,Academ's Fury,"Academ's Fury (Codex Alera, #2)",eng
2519,James Patterson,When the Wind Blows,"When the Wind Blows (When the Wind Blows, #1)",eng
2520,"Haruki Murakami, 村上 春樹",1Q84 Book 1 [Ichi-kyū-hachi-yon],"1Q84 BOOK 1 (1Q84, #1)",jpn
